Field,Value
Description,"The Sea Observations Utility for Reprocessing, Calibration and Evaluation (SOURCE) is a software designed for web applications that permits to calibrate and validate ocean models within a selected spatial domain using in-situ observations."
Licence,CC BY-NC-SA 4.0
Repository,None
Contributor Policies,None
CodeMeta,None
Provenance Tracking,None
Software Heritage,None
Zenodo,https://zenodo.org/records/5106546
Language package,https://zenodo.org/records/5106546
Conda package,None
Docker image,None
Galaxy tool,None
API,None
Web services,None
User documentation,None
Test dataset,None
Training Material,None
